total_distance_km,average_trip_speed_kmph,ambient_temperature_C,trip_duration_min,charging_cycles,fast_charging_ratio_%,average_battery_temperature_C,battery_health_%
15607.06,34.95,35.55,61.05,270,20.82,37.86,75.37
38077.86,33.32,16.46,46.74,685,51.85,26.59,45.0
29547.76,27.05,22.13,87.16,533,34.93,40.5,49.18
24347.68,44.29,33.21,27.52,438,42.09,42.53,62.71
7084.73,39.06,26.87,57.03,113,1.62,33.06,87.88
7083.79,54.63,35.85,66.02,110,34.77,40.88,82.55
3265.26,21.28,43.64,76.05,52,38.21,47.19,83.84
34780.87,45.75,14.08,42.56,591,55.0,25.0,45.0
24443.49,50.52,34.83,64.95,395,2.52,42.83,66.8
28614.83,50.38,18.06,34.26,523,23.15,25.34,56.56
1802.8,55.44,24.51,44.84,50,22.35,29.19,94.78
38826.48,49.16,11.15,81.65,728,32.95,25.0,45.0
33465.26,57.11,14.76,85.99,602,58.21,25.0,45.0
9281.23,33.31,21.19,67.51,139,50.86,25.0,85.52
8091.17,40.13,21.97,39.95,99,55.05,31.98,85.63
8152.78,20.56,41.49,75.6,126,34.13,50.0,81.28
12865.45,20.28,35.96,12.07,244,26.37,43.02,76.44
21465.5,29.61,44.03,18.22,426,46.91,50.0,60.79
17845.86,24.03,30.97,62.91,326,14.73,39.8,72.08
12357.94,30.41,18.46,33.3,194,30.1,30.43,85.08
24862.26,27.08,21.47,86.11,430,20.77,27.91,71.42
6440.26,21.14,21.19,44.88,96,31.1,31.22,88.95
12393.64,56.37,21.43,44.35,215,2.51,29.28,84.01
15288.11,20.33,33.55,64.25,306,19.57,38.18,75.94
18786.73,49.44,28.58,71.41,372,10.97,37.85,70.94
31621.86,26.09,23.49,48.04,571,64.24,33.69,45.0
8787.28,56.49,15.22,27.12,164,14.92,25.0,89.1
21055.14,55.71,10.77,71.86,363,40.67,25.0,72.5
24104.17,46.16,17.66,35.63,396,13.78,28.1,73.06
2811.57,46.89,13.76,24.01,96,43.39,25.0,91.71
24694.25,20.21,37.49,60.53,391,39.68,42.51,61.69
7650.44,59.39,13.94,17.24,93,31.89,25.0,92.48
3537.01,55.11,35.35,87.71,109,9.16,41.36,89.09
38006.54,55.8,23.5,60.59,691,17.76,27.07,45.0
38659.65,46.37,12.57,88.87,675,9.98,25.0,45.0
32527.5,33.79,38.45,37.11,608,3.6,47.66,45.0
12879.94,55.75,30.29,87.7,254,38.28,36.13,74.97
4809.21,31.66,18.25,21.64,54,58.49,25.0,91.11
27685.09,42.51,41.31,13.26,490,80.2,48.62,56.99
18165.95,23.99,11.58,12.64,352,50.79,25.0,79.03
5759.49,56.88,17.06,47.19,84,33.62,26.36,91.51
20311.9,25.63,36.32,16.64,376,14.39,49.11,67.44
2341.15,29.0,34.83,50.97,78,33.52,40.83,87.42
36463.5,42.33,20.12,36.2,603,53.61,25.99,45.0
11092.42,50.56,12.17,36.85,193,28.74,25.0,85.46
26838.37,44.77,40.03,60.85,495,12.71,47.17,57.18
13156.73,29.29,20.98,23.05,194,46.39,27.44,82.54
21282.65,20.04,16.85,71.32,374,16.58,25.0,79.44
22321.7,50.29,28.06,56.56,432,8.24,36.55,68.03
8209.32,59.41,41.86,83.2,132,12.36,50.0,80.8
38813.8,52.4,11.52,39.19,669,9.11,25.0,45.0
31230.18,38.41,36.8,88.62,596,17.24,39.22,45.0
37640.46,56.15,30.04,56.07,695,31.89,38.34,45.0
35898.27,36.39,24.89,87.87,651,30.87,25.62,45.0
24318.1,41.0,36.04,12.16,440,18.53,41.38,65.56
36953.1,39.09,43.8,68.24,698,21.56,49.39,45.0
4451.21,37.9,18.02,75.33,88,5.92,25.0,93.48
8643.33,51.01,15.03,14.25,173,10.6,25.0,88.58
2763.86,41.07,41.95,56.32,50,28.41,46.54,85.69
13687.88,32.67,33.41,74.16,201,26.27,44.7,77.53
16158.41,30.33,25.33,54.88,309,20.73,29.32,78.62
11582.61,21.51,30.06,15.11,238,13.04,40.0,79.47
33320.76,43.33,36.1,65.48,600,5.98,49.51,45.0
14913.38,29.2,37.06,14.85,293,14.63,40.4,73.54
11956.45,25.93,42.2,75.4,209,26.35,47.98,75.88
22165.15,46.15,24.94,13.44,401,0.58,31.88,68.82
6496.04,47.25,20.27,20.99,162,18.39,28.54,89.55
32285.68,50.09,32.39,32.01,580,19.3,39.19,45.0
3907.48,40.14,24.55,60.67,62,31.9,31.91,90.1
39488.59,55.76,30.81,88.11,671,49.06,38.67,45.0
31117.55,57.45,24.7,19.43,583,36.87,29.25,45.0
8749.91,52.29,15.35,21.42,141,26.41,25.0,89.62
1215.36,45.42,26.43,39.51,50,14.12,36.19,94.75
32803.0,32.15,34.18,76.9,589,30.52,43.13,45.0
28567.44,59.32,37.97,47.38,508,13.34,49.33,51.79
29431.28,30.97,27.27,35.73,532,16.55,31.91,55.0
31079.54,28.11,15.78,54.9,564,18.25,26.51,46.9
3887.74,37.69,24.51,30.84,100,17.62,35.49,92.41
14980.16,22.27,37.52,42.09,310,29.92,42.95,73.84
5518.89,59.14,24.45,36.61,117,31.34,31.58,89.5
34661.03,43.54,34.38,74.33,662,18.79,37.13,45.0
25308.63,42.28,27.75,83.94,482,41.06,33.15,63.01
13905.02,46.23,18.44,70.77,265,67.63,25.0,80.69
3478.78,39.88,37.87,45.13,100,44.19,45.47,85.05
13128.31,21.28,12.95,50.35,206,47.37,25.0,83.03
13682.15,44.49,28.37,20.01,232,16.41,32.65,80.5
29454.64,48.65,17.31,69.75,515,21.93,25.0,55.94
25864.74,36.67,12.35,57.72,463,34.34,25.0,67.99
35601.3,50.29,27.6,82.2,664,67.15,32.21,45.0
19416.38,29.08,27.48,26.05,325,22.59,39.88,71.48
5664.18,28.85,34.74,70.78,116,38.84,39.85,83.27
28816.55,26.46,36.07,64.77,509,36.16,46.85,49.36
30670.62,34.88,35.47,31.27,549,7.59,43.35,45.0
22889.81,53.88,24.33,63.39,421,9.93,32.84,73.07
31067.72,53.12,32.11,83.95,607,51.21,38.22,45.0
20258.03,35.31,30.19,83.47,351,44.6,33.42,69.76
21386.58,43.56,24.75,67.57,387,25.49,36.94,68.56
17674.1,48.83,30.9,13.85,294,13.51,34.95,75.19
1991.35,29.65,43.15,79.78,50,12.35,50.0,86.34
5207.77,26.73,16.75,62.62,68,6.19,25.0,92.15
2225.74,58.88,41.7,34.83,50,34.93,42.94,88.67
25820.01,44.7,11.87,24.98,480,8.27,25.0,68.43
13259.88,59.26,20.79,19.3,258,12.36,29.6,81.84
20834.26,33.51,20.09,14.02,360,24.96,28.28,73.48
36395.09,48.12,31.92,70.33,674,51.36,39.12,45.0
10722.4,28.9,14.59,28.87,198,32.94,25.0,83.63
17004.93,30.45,40.88,11.94,308,52.0,47.94,67.92
30466.49,40.48,39.0,41.78,523,38.5,43.64,45.0
9923.13,32.78,32.82,48.61,184,54.28,41.93,77.06
4002.22,26.7,26.04,23.54,77,8.71,28.47,91.57
12300.31,30.52,42.65,13.52,226,19.52,47.83,76.1
7287.63,21.43,39.08,25.13,143,24.15,48.87,77.81
37258.21,48.18,27.48,64.33,695,15.85,36.8,45.0
32516.69,39.68,34.57,16.58,564,51.94,42.98,45.0
25702.75,23.77,29.84,54.4,462,20.78,42.58,65.66
34986.96,26.87,30.58,21.71,649,46.38,38.22,45.0
32343.21,24.1,21.58,25.66,581,23.63,28.45,45.0
8276.23,44.5,26.17,41.45,174,13.36,37.51,83.51
35809.8,23.77,12.73,18.07,653,22.06,25.0,45.0
22034.35,50.17,22.51,23.86,352,55.01,29.47,70.21
32490.17,20.82,34.35,37.92,612,36.46,43.14,45.0
35947.56,29.98,43.36,36.37,651,11.98,50.0,45.0
13402.14,55.63,43.71,69.94,199,41.68,49.47,73.09
